env=sdlpop  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=GENERATED per re-infer
per_row=0.033s  objective=You are a platformer hero. What should the agent do next to advance through the level?
  exec0: stick=(+1.04,-0.01) buttons=B,Y,RT/accel  state={}
  exec1: stick=(+1.05,+0.00) buttons=B,Y,RT/accel  state={}
# re-plan#19  plan='The agent should jump to the right to reach the next platform, as the character is currently on the lowest accessible step and needs to ascend to continue progressing.'
  exec0: stick=(+0.69,+0.00) buttons=RT/accel  state={}
  exec1: stick=(+0.20,+0.03) buttons=B,RT/accel  state={}
# re-plan#20  plan='The agent should jump to the right to reach the next platform, as the character is currently on the lowest accessible ledge and needs to ascend to continue progressing.'
  exec0: stick=(+0.82,+0.14) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.94,+0.25) buttons=A/jump,B,RT/accel  state={}
# re-plan#21  plan='The agent should jump up to reach the higher platform where the next path leads, as the current position is too low to proceed.'
  exec0: stick=(+0.35,+0.02) buttons=X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.41,+0.06) buttons=X/shoot,B,RT/accel  state={}
# re-plan#22  plan='The agent should jump to the right to reach the next platform, as the character is currently on the left side of the current platform and needs to move rightward to progress.'
  exec0: stick=(+1.20,+0.42) buttons=A/jump,B,Y,RT/accel  state={}
  exec1: stick=(+1.22,+0.43) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#23  plan='The agent should jump to the left to reach the higher platform where the torches are located, as this is the only viable path to progress.'
  exec0: stick=(+0.60,+1.00) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.56,+1.01) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#24  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by torches and the right path leads to an open area.'
  exec0: stick=(-0.03,+0.12) buttons=RT/accel  state={}
  exec1: stick=(-0.04,+0.18) buttons=B,RT/accel  state={}
# re-plan#25  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(-0.07,+0.59) buttons=A/jump,B,Y,RT/accel  state={}
  exec1: stick=(-0.06,+0.59) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#26  plan='The agent should jump to the right to reach the next platform, as the character is currently on a ledge and needs to move horizontally to progress.'
  exec0: stick=(+0.99,+0.96) buttons=RT/accel  state={}
  exec1: stick=(+0.98,+0.94) buttons=RT/accel  state={}
# re-plan#27  plan='The agent should jump to the right to reach the next platform, as the character is currently on a ledge and needs to move horizontally to progress.'
  exec0: stick=(-0.17,+0.28) buttons=B,RT/accel  state={}
  exec1: stick=(-0.18,+0.31) buttons=B,RT/accel  state={}
# re-plan#28  plan='The agent should jump to the right to reach the next platform, as the character is currently on a ledge and needs to move horizontally to progress.'
  exec0: stick=(-0.13,+0.05) buttons=B,RT/accel  state={}
  exec1: stick=(-0.42,+0.05) buttons=A/jump,B,RT/accel  state={}
# re-plan#29  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(+0.15,+0.77) buttons=A/jump,X/shoot,Y,RT/accel  state={}
  exec1: stick=(+0.03,+0.77) buttons=A/jump,X/shoot,Y,RT/accel  state={}
# re-plan#30  plan='jump to reach the higher platform and continue progressing.'
  exec0: stick=(+0.45,+0.90) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.42,+0.93) buttons=A/jump,X/shoot,B,Y,RT/accel  state={}
# re-plan#31  plan='The agent should jump to the right to reach the next platform, as the character is currently on the leftmost ledge and needs to move horizontally to progress.'
  exec0: stick=(+0.56,+1.10) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.39,+1.15) buttons=X/shoot,RT/accel  state={}
# re-plan#32  plan='The agent should jump to the right to reach the next platform, as the leftward movement shown in the previous frame would lead to a dead end.'
  exec0: stick=(+1.21,+0.48) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+1.18,+0.49) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#33  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by torches and the right path leads to an open area.'
  exec0: stick=(+0.68,+0.04) buttons=B,RT/accel,LB  state={}
  exec1: stick=(+0.65,+0.04) buttons=B,RT/accel  state={}
# re-plan#34  plan='The agent should jump up to reach the higher platform where the next path leads, as the current position is blocked by the lower wall.'
  exec0: stick=(+0.93,+0.85) buttons=RT/accel  state={}
  exec1: stick=(+0.93,+0.87) buttons=X/shoot,RT/accel  state={}
# re-plan#35  plan='The agent should jump to the upper platform to the right, as this is the only viable path to reach the next area.'
  exec0: stick=(+0.56,+0.04) buttons=X/shoot,Y,RT/accel  state={}
  exec1: stick=(+0.51,+0.02) buttons=Y,RT/accel  state={}
# re-plan#36  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower level and needs to ascend to continue progressing.'
  exec0: stick=(+0.90,+0.29) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.89,+0.28) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#37  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by torches and the right path leads to an open area.'
  exec0: stick=(-0.07,+1.44) buttons=A/jump,B,RT/accel,LB  state={}
  exec1: stick=(+0.85,+0.95) buttons=A/jump,B,RT/accel,LB  state={}
# re-plan#38  plan='The agent should jump to the right to reach the next platform, as the left side is blocked by a wall and the right side offers an accessible path forward.'
  exec0: stick=(+1.24,+0.34) buttons=RT/accel  state={}
  exec1: stick=(+1.25,+0.47) buttons=B,RT/accel  state={}
# re-plan#39  plan='The agent should jump to the right to reach the next platform, as the left side is blocked by a wall and the right side offers an unobstructed path forward.'
  exec0: stick=(+1.00,+0.33) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.08,+0.36) buttons=X/shoot,RT/accel  state={}
# re-plan#40  plan='The agent should jump to the right to reach the next platform, as the left side is blocked by torches and the right side offers a clear path forward.'
  exec0: stick=(+1.21,+0.39) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+1.22,+0.50) buttons=X/shoot,RT/accel  state={}
# re-plan#41  plan='The agent should jump to the right to reach the next platform and continue progressing through the level.'
  exec0: stick=(+0.27,+1.17) buttons=X/shoot,Y,RT/accel  state={}
  exec1: stick=(+0.28,+1.16) buttons=X/shoot,Y,RT/accel  state={}
# re-plan#42  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by torches and the right path leads to an open area.'
  exec0: stick=(+0.29,+1.35) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+0.26,+1.42) buttons=X/shoot,RT/accel  state={}
# re-plan#43  plan='The agent should jump to the right to reach the next platform, as the leftward movement shown in the previous frame is not a valid action for advancing.'
  exec0: stick=(+0.93,+0.37) buttons=A/jump,X/shoot,Y,RT/accel  state={}
  exec1: stick=(+0.93,+0.29) buttons=A/jump,X/shoot,Y,RT/accel  state={}
# re-plan#44  plan='The agent should jump to the right to reach the next platform, as the left path is blocked by torches and the right path leads to an open area.'
  exec0: stick=(+1.60,+1.22) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.29,+1.18) buttons=X/shoot,B,RT/accel  state={}
# re-plan#45  plan='The agent should jump to the right to reach the next platform, as the current position is too low to proceed.'
  exec0: stick=(+0.06,+0.84) buttons=RT/accel  state={}
  exec1: stick=(+0.04,+0.88) buttons=B,RT/accel  state={}
# re-plan#46  plan='The agent should jump to the right to reach the next platform, as the character is currently on the left side of the current platform and needs to move rightward to progress.'
  exec0: stick=(+1.27,+0.55) buttons=A/jump,X/shoot,RT/accel  state={}
  exec1: stick=(+1.33,+0.61) buttons=X/shoot,B,RT/accel  state={}
# re-plan#47  plan='jump to reach the higher platform and continue progressing.'
  exec0: stick=(+0.06,+0.73) buttons=X/shoot,Y,RT/accel  state={}
  exec1: stick=(+0.41,+0.98) buttons=X/shoot,Y,RT/accel  state={}
# re-plan#48  plan='The agent should jump to the right to reach the next platform, as the character is currently on the left side of the current platform and needs to move horizontally to progress.'
  exec0: stick=(+1.20,+0.55) buttons=A/jump,X/shoot,B,Y,RT/accel  state={}
  exec1: stick=(+1.25,+0.58) buttons=A/jump,B,Y,RT/accel  state={}
# re-plan#49  plan='jump to reach the higher platform and continue progressing through the level.'
  exec0: stick=(+0.73,+0.57) buttons=A/jump,B,RT/accel  state={}
  exec1: stick=(+0.67,+0.43) buttons=A/jump,B,RT/accel  state={}
# re-plan#50  plan='The agent should jump to the right to reach the next platform, as the character is currently on the leftmost ledge and needs to move horizontally to progress.'
  exec0: stick=(+0.41,+1.22) buttons=B,RT/accel,LB,RB  state={}
  exec1: stick=(+0.46,+1.22) buttons=B,RT/accel,LB  state={}
# re-plan#51  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(+0.55,+0.49) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(-0.05,+0.31) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#52  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(-0.04,+0.84) buttons=B,RT/accel  state={}
  exec1: stick=(-0.12,+0.77) buttons=B,RT/accel  state={}
# re-plan#53  plan='The agent should jump to the right to reach the next platform, as the current position is too low to proceed.'
  exec0: stick=(+0.02,+0.43) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+0.53,+0.50) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#54  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(+0.84,+0.90) buttons=A/jump,B,Y,RT/accel  state={}
  exec1: stick=(+0.87,+0.90) buttons=A/jump,B,RT/accel  state={}
# re-plan#55  plan='The agent should jump to the right to reach the next platform, as the current position is too low to proceed.'
  exec0: stick=(-0.20,+0.02) buttons=A/jump,Y,RT/accel  state={}
  exec1: stick=(-0.16,+0.03) buttons=RT/accel  state={}
# re-plan#56  plan='The agent should jump to the right to reach the next platform, as the current position is too low to proceed.'
  exec0: stick=(+1.27,+0.81) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+1.22,+1.05) buttons=A/jump,X/shoot,B,RT/accel  state={}
# re-plan#57  plan='The agent should jump to the right to reach the next platform, as the leftward movement shown in the previous frames is not progressing toward the goal.'
  exec0: stick=(+0.28,+1.45) buttons=A/jump,B,Y,RT/accel  state={}
  exec1: stick=(+0.23,+1.40) buttons=Y,RT/accel  state={}
# re-plan#58  plan='The agent should jump to the right to reach the next platform, as the leftward movement shown in the previous frame is not possible due to the character's current position and the game's mechanics.'
  exec0: stick=(+1.32,+1.12) buttons=A/jump,X/shoot,B,RT/accel  state={}
  exec1: stick=(+1.18,+1.12) buttons=A/jump,X/shoot,RT/accel  state={}
# re-plan#59  plan='The agent should jump to the right to reach the next platform, as the character is currently on a lower ledge and needs to ascend to continue progressing.'
  exec0: stick=(+1.08,+0.34) buttons=X/shoot,RT/accel  state={}
  exec1: stick=(+1.15,+0.43) buttons=X/shoot,RT/accel  state={}
