env=thextech  ckpt=runs/stage2_2b_btn/plan_stage1_600.pt  A=2  H=18  cfg=8.0
plan_mode=NULL/base (no plan)
per_row=0.033s  objective=You are a platformer hero. What should the agent do next to advance and avoid hazards?

# re-plan#00  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.96,+0.74) buttons=X/shoot  state={'x': 238.0, 'y': 450.0, 'vx': 1.5, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.51) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#09  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=Dn  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#10  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.48,+0.69) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.48,+0.69) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#11  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#12  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=A/jump  state={'x': 326.0, 'y': 413.1, 'vx': 0.0, 'vy': -5.3, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=A/jump  state={'x': 326.0, 'y': 395.1, 'vx': 0.0, 'vy': 2.79, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#13  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.48,+0.99) buttons=A/jump  state={'x': 326.0, 'y': 407.8, 'vx': 0.0, 'vy': -5.3, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.49,+0.99) buttons=A/jump  state={'x': 326.0, 'y': 398.3, 'vx': 0.0, 'vy': 3.19, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#14  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.46,+0.71) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.46,+0.71) buttons=-  state={'x': 326.0, 'y': 482.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#15  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.65,+0.43) buttons=-  state={'x': 336.5, 'y': 482.0, 'vx': 1.4, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.63,+0.47) buttons=-  state={'x': 361.1, 'y': 486.0, 'vx': 2.6, 'vy': 1.6, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#16  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=X/shoot  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=X/shoot  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#17  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=B  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=B  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#18  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.50,+0.50) buttons=-  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.50,+0.50) buttons=-  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
# re-plan#19  plan='(null / no plan — base DiT)'
  exec0: stick=(+0.57,+0.52) buttons=-  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
  exec1: stick=(+0.57,+0.52) buttons=-  state={'x': 424.0, 'y': 514.0, 'vx': 0.0, 'vy': 0.0, 'lives': 3, 'dead': 0, 'in_menu': 0, 'won': 0, 'beat_code': 0, 'nplayers': 1}
